what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1311865936563
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1311865936563
java.specification.name,sysinfo,,,"Java Platform API Specification",1311865936563
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311865936563
java.specification.version,sysinfo,,,"1.6",1311865936563
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1311865936563
java.version,sysinfo,,,"1.6.0_26",1311865936563
java.vm.info,sysinfo,,,"mixed mode",1311865936563
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1311865936563
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1311865936563
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311865936563
java.vm.specification.version,sysinfo,,,"1.0",1311865936563
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1311865936563
java.vm.version,sysinfo,,,"20.1-b02",1311865936563
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1311865936753
